0,launchitems_pack0,,cebc2ded-f3c7-4928-8ef0-b1b93abdaa60,,,general,insignia pack
1,launchitems_pack1,,,,,monster,M Beast Patch
2,launchitems_pack2,,,,,monster,M Viper Patch
3,launchitems_pack3,,,,,monster,M Beast Playercard
4,launchitems_pack4,,,,,monster,M Viper Playercard
5,launchitems_pack5,,39d09064-c208-4464-9b2c-bcae1010c1a7,,,general,Federation Patch
6,launchitems_pack6,,fb5d7611-36a1-4f39-aa5e-f6e1c6d6aa70,,,general,No Man Land Patch
7,launchitems_pack7,,eb17a781-2110-469f-a9a0-fc6021e71772,,,general,Into the Deep Patch 
8,launchitems_pack8,,95193cfe-eacb-4c7c-92d7-16ad3ba5760e,,,general,Digital Hardened Pack
9,launchitems_pack9,,0e6b6199-3930-4d30-b12e-377701b969c0,,,general,Classic Ghost
10,launchitems_pack10,,72b78bb7-a5fa-44f9-9ab0-f782f6a8c7cf,,,general,MSFT Pack
11,mdlc_pack0,941f1000,8fc6223f-d675-4d0f-82dd-5db64780a63f,,,personalization,Festive Pack
12,mdlc_pack1,7191a400,54d6db0f-6107-4862-93be-3f062dd7c302,,,additional,Beast Pack
13,mdlc_pack2,5d5edc00,89f7fc95-7fb0-48c1-af7c-eacd253d2dd1,,,extraslots,Extra Slots
14,mdlc_pack3,24627c00,fa531980-acf9-41d9-9212-a7fa8794b65b,,,customization,Hero Character Elias
15,mdlc_pack4,9e9c4800,55b9908c-e0c1-4d9a-962c-c175e49d7b01,,,customization,Hero Character Hesh
16,mdlc_pack5,b7073c00,16dcb86f-f441-4f72-851a-be49d8fac971,,,customization,Hero Character Meerick
17,mdlc_pack6,c2cbc400,2cd41eb0-f19b-4d7b-a4d9-30a825689781,,,customization,Hero Character Keegan
18,mdlc_pack7,86dff000,700ea071-7735-4e86-99ba-7bb1f9022b09,,,customization,Hero Character Price
19,mdlc_pack8,91c3c400,99ca4292-4ddc-44fc-8efc-154aabf4572a,,,personalization,Personalization Pack 1 - Ducky
20,mdlc_pack9,b70c8000,14eaf18d-1f3e-42ed-99ce-a95d939be3cb,,,personalization,Personalization Pack 2 - Blood
21,mdlc_pack10,99c5a800,2b7c5745-6f99-4454-bbda-7742907f3dc9,,,personalization,Personalization Pack 3 - Inferno
22,mdlc_pack11,0e938c00,195813f3-c604-482d-981f-d3a2408b4a7f,,,personalization,Personalization Pack 4 - Kittens
23,mdlc_pack19,dfc8dc00,9188f370-0121-46ce-acf4-e9be053f22d9,,,customization,Makarov Legend Pack
24,mdlc_pack12,0cd70000,86866b00-c834-425f-b6d0-ea14c1a05c96,,,customization,Zakhaev Character
25,mdlc_pack13,0eaaa800,b23b3fc4-2938-4dfe-9d3e-637589376ac0,,,customization,Rorke Character
26,mdlc_pack14,0eac4000,dda227d4-a3c9-44d5-891e-b904be914971,,,customization,Hazmat Character
27,mdlc_pack15,66ecdc00,b78c8479-24d0-4fd7-b08c-76cd6a849681,,,personalization,Personalization Pack 5 - 1987
28,mdlc_pack16,79e56800,a8b8c870-1917-4e83-9e62-5ebcc60a6160,,,personalization,Personalization Pack 6 - Eyeballs
29,mdlc_pack17,d9145c00,cd763c0d-e753-464e-9434-7371f6e10164,,,personalization,Personalization Pack 7 - Blunt Force
30,mdlc_pack18,48550000,7ea4100a-bf07-48ae-8b94-ebb78515f690,,,personalization,Personalization Pack 8 - Hex
31,mdlc_pack24,5da58000,b6326a3e-682a-4f93-9ba9-347fa72dc1c5,,,personalization,Personalization Pack 9 - Heartlands
32,mdlc_pack20,3f546000,440f6d8a-7e43-4634-a597-01a6f2ab4f16,,,personalization,Personalization Pack 10 - Molten
33,mdlc_pack21,aa048800,ff4f5389-5f33-4d84-a5fb-5eb157bb8e48,,,customization,Soap Legend Pack
